# equation of state: birch 1st order.  chisq =   0.1564D-07
# a0 =  5.3515 a.u., k0 = 3744 kbar, dk0 =  6.37 d2k0 =  0.000 emin = -658.54090
# a0 =  2.83187 Ang, k0 = 374.4 GPa,  V0 =    76.63 (a.u.)^3,  V0 =   11.36 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
  2.70000    -658.51646    -658.51632    -0.00014      84.02     -658.13714
  2.71000    -658.52034    -658.52032    -0.00003      74.87     -658.17854
  2.72000    -658.52385    -658.52389     0.00005      66.28     -658.21791
  2.73000    -658.52697    -658.52707     0.00010      58.21     -658.25532
  2.74000    -658.52978    -658.52987     0.00009      50.63     -658.29089
  2.75000    -658.53226    -658.53231     0.00005      43.52     -658.32466
  2.76000    -658.53439    -658.53441     0.00002      36.86     -658.35666
  2.77000    -658.53618    -658.53618     0.00000      30.61     -658.38697
  2.78000    -658.53768    -658.53764    -0.00003      24.76     -658.41568
  2.79000    -658.53887    -658.53882    -0.00006      19.28     -658.44282
  2.80000    -658.53977    -658.53971    -0.00005      14.16     -658.46846
  2.81000    -658.54037    -658.54035    -0.00002       9.38     -658.49265
  2.82000    -658.54069    -658.54074     0.00005       4.91     -658.51542
  2.83000    -658.54078    -658.54089     0.00011       0.75     -658.53690
  2.84000    -658.54069    -658.54082     0.00013      -3.13     -658.55715
  2.85000    -658.54050    -658.54055     0.00004      -6.74     -658.57631
  2.86000    -658.54014    -658.54007    -0.00006     -10.10     -658.59433
  2.87000    -658.53955    -658.53941    -0.00014     -13.22     -658.61121
  2.88000    -658.53876    -658.53858    -0.00018     -16.10     -658.62699
  2.89000    -658.53776    -658.53758    -0.00018     -18.78     -658.64172
  2.90000    -658.53656    -658.53642    -0.00013     -21.25     -658.65542
  2.91000    -658.53522    -658.53512    -0.00009     -23.53     -658.66819
  2.92000    -658.53370    -658.53369    -0.00001     -25.62     -658.68002
  2.93000    -658.53207    -658.53212     0.00005     -27.55     -658.69102
  2.94000    -658.53031    -658.53043     0.00012     -29.31     -658.70117
  2.95000    -658.52842    -658.52864     0.00021     -30.93     -658.71053
  2.96000    -658.52641    -658.52673     0.00033     -32.39     -658.71911
  2.97000    -658.52456    -658.52473     0.00017     -33.73     -658.72723
  2.98000    -658.52263    -658.52264     0.00001     -34.93     -658.73467
  2.99000    -658.52058    -658.52046    -0.00011     -36.02     -658.74141
  3.00000    -658.51850    -658.51821    -0.00028     -36.99     -658.74756
