# equation of state: birch 3rd order.  chisq =   0.1106D-07
# a0 =  5.3519 a.u., k0 = 3851 kbar, dk0 =  6.19 d2k0 = -0.007 emin = -658.54097
# a0 =  2.83210 Ang, k0 = 385.1 GPa,  V0 =    76.65 (a.u.)^3,  V0 =   11.36 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
  2.70000    -658.51646    -658.51647     0.00001      81.27     -658.14953
  2.71000    -658.52034    -658.52035     0.00001      73.06     -658.18681
  2.72000    -658.52385    -658.52386     0.00001      65.20     -658.22289
  2.73000    -658.52697    -658.52700     0.00002      57.69     -658.25774
  2.74000    -658.52978    -658.52978    -0.00000      50.53     -658.29138
  2.75000    -658.53226    -658.53222    -0.00004      43.71     -658.32376
  2.76000    -658.53439    -658.53433    -0.00006      37.23     -658.35485
  2.77000    -658.53618    -658.53613    -0.00005      31.08     -658.38464
  2.78000    -658.53768    -658.53762    -0.00006      25.27     -658.41316
  2.79000    -658.53887    -658.53882    -0.00005      19.77     -658.44038
  2.80000    -658.53977    -658.53974    -0.00002      14.59     -658.46630
  2.81000    -658.54037    -658.54040     0.00003       9.72     -658.49091
  2.82000    -658.54069    -658.54080     0.00011       5.14     -658.51423
  2.83000    -658.54078    -658.54097     0.00018       0.86     -658.53630
  2.84000    -658.54069    -658.54090     0.00021      -3.14     -658.55717
  2.85000    -658.54050    -658.54062     0.00012      -6.86     -658.57693
  2.86000    -658.54014    -658.54014     0.00000     -10.32     -658.59549
  2.87000    -658.53955    -658.53946    -0.00009     -13.52     -658.61284
  2.88000    -658.53876    -658.53861    -0.00015     -16.46     -658.62897
  2.89000    -658.53776    -658.53759    -0.00017     -19.17     -658.64391
  2.90000    -658.53656    -658.53641    -0.00015     -21.65     -658.65766
  2.91000    -658.53522    -658.53509    -0.00013     -23.90     -658.67031
  2.92000    -658.53370    -658.53363    -0.00007     -25.94     -658.68182
  2.93000    -658.53207    -658.53205    -0.00003     -27.77     -658.69227
  2.94000    -658.53031    -658.53035     0.00004     -29.40     -658.70166
  2.95000    -658.52842    -658.52855     0.00013     -30.84     -658.71000
  2.96000    -658.52641    -658.52666     0.00026     -32.09     -658.71731
  2.97000    -658.52456    -658.52469     0.00012     -33.17     -658.72391
  2.98000    -658.52263    -658.52264     0.00000     -34.09     -658.72955
  2.99000    -658.52058    -658.52052    -0.00006     -34.84     -658.73421
  3.00000    -658.51850    -658.51835    -0.00014     -35.44     -658.73800
