# equation of state: birch 3rd order.  chisq =   0.2698D-10
# a0 =  5.3484 a.u., k0 = 3203 kbar, dk0 =  5.00 d2k0 = -0.011 emin = -658.54078
# a0 =  2.83028 Ang, k0 = 320.4 GPa,  V0 =    76.50 (a.u.)^3,  V0 =   11.34 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
  2.82000    -658.54069    -658.54068    -0.00001       3.59     -658.52222
  2.82100    -658.54071    -658.54070    -0.00000       3.23     -658.52406
  2.82200    -658.54072    -658.54072    -0.00000       2.88     -658.52589
  2.82300    -658.54073    -658.54073     0.00000       2.52     -658.52772
  2.82400    -658.54074    -658.54075     0.00000       2.17     -658.52953
  2.82500    -658.54075    -658.54076     0.00001       1.82     -658.53134
  2.82600    -658.54075    -658.54077     0.00001       1.47     -658.53314
  2.82900    -658.54078    -658.54078     0.00000       0.44     -658.53852
  2.83000    -658.54078    -658.54078    -0.00000       0.09     -658.54030
  2.83100    -658.54079    -658.54078    -0.00000      -0.25     -658.54206
  2.83200    -658.54079    -658.54078    -0.00000      -0.58     -658.54382
  2.83300    -658.54078    -658.54078    -0.00001      -0.92     -658.54557
  2.83400    -658.54078    -658.54077    -0.00001      -1.25     -658.54731
  2.83500    -658.54077    -658.54076    -0.00000      -1.58     -658.54904
  2.83600    -658.54076    -658.54075    -0.00000      -1.91     -658.55076
  2.83700    -658.54074    -658.54074    -0.00000      -2.24     -658.55247
  2.83800    -658.54073    -658.54073     0.00000      -2.57     -658.55418
  2.83900    -658.54071    -658.54071     0.00000      -2.89     -658.55587
  2.84000    -658.54069    -658.54070     0.00000      -3.21     -658.55756
