# equation of state: keane.            chisq =   0.2370D-10
# a0 =  5.3486 a.u., k0 = 1564 kbar, dk0 = -3.49 d2k0 = -0.003 emin = -658.54078
# a0 =  2.83036 Ang, k0 = 156.5 GPa,  V0 =    76.50 (a.u.)^3,  V0 =   11.34 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
  2.82000    -658.54069    -658.54068    -0.00001       2.59     -658.52735
  2.82100    -658.54071    -658.54070    -0.00000       2.35     -658.52863
  2.82200    -658.54072    -658.54072    -0.00000       2.10     -658.52991
  2.82300    -658.54073    -658.54073     0.00000       1.85     -658.53120
  2.82400    -658.54074    -658.54075     0.00000       1.60     -658.53249
  2.82500    -658.54075    -658.54076     0.00001       1.35     -658.53378
  2.82600    -658.54075    -658.54077     0.00001       1.10     -658.53507
  2.82900    -658.54078    -658.54078     0.00000       0.34     -658.53900
  2.83000    -658.54078    -658.54078    -0.00000       0.09     -658.54032
  2.83100    -658.54079    -658.54078    -0.00000      -0.16     -658.54164
  2.83200    -658.54079    -658.54078    -0.00000      -0.42     -658.54296
  2.83300    -658.54078    -658.54078    -0.00000      -0.67     -658.54428
  2.83400    -658.54078    -658.54077    -0.00000      -0.93     -658.54561
  2.83500    -658.54077    -658.54076    -0.00000      -1.18     -658.54694
  2.83600    -658.54076    -658.54075    -0.00000      -1.44     -658.54828
  2.83700    -658.54074    -658.54074    -0.00000      -1.69     -658.54961
  2.83800    -658.54073    -658.54073     0.00000      -1.95     -658.55095
  2.83900    -658.54071    -658.54071     0.00000      -2.21     -658.55230
  2.84000    -658.54069    -658.54070     0.00000      -2.47     -658.55365
