# equation of state: keane.            chisq =   0.2498D-07
# a0 =  5.3515 a.u., k0 = 3641 kbar, dk0 =  6.45 d2k0 = -0.000 emin = -658.54084
# a0 =  2.83188 Ang, k0 = 364.1 GPa,  V0 =    76.63 (a.u.)^3,  V0 =   11.36 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
  2.70000    -658.51646    -658.51623    -0.00022      85.71     -658.12951
  2.71000    -658.52034    -658.52031    -0.00004      75.90     -658.17386
  2.72000    -658.52385    -658.52393     0.00008      66.79     -658.21554
  2.73000    -658.52697    -658.52713     0.00016      58.35     -658.25467
  2.74000    -658.52978    -658.52993     0.00015      50.50     -658.29149
  2.75000    -658.53226    -658.53236     0.00010      43.22     -658.32609
  2.76000    -658.53439    -658.53445     0.00006      36.46     -658.35857
  2.77000    -658.53618    -658.53620     0.00002      30.17     -658.38908
  2.78000    -658.53768    -658.53764    -0.00003      24.33     -658.41776
  2.79000    -658.53887    -658.53880    -0.00007      18.91     -658.44470
  2.80000    -658.53977    -658.53968    -0.00009      13.86     -658.46999
  2.81000    -658.54037    -658.54030    -0.00007       9.16     -658.49374
  2.82000    -658.54069    -658.54068    -0.00001       4.80     -658.51602
  2.83000    -658.54078    -658.54083     0.00005       0.73     -658.53698
  2.84000    -658.54069    -658.54077     0.00008      -3.05     -658.55672
  2.85000    -658.54050    -658.54050    -0.00001      -6.57     -658.57540
  2.86000    -658.54014    -658.54003    -0.00010      -9.85     -658.59299
  2.87000    -658.53955    -658.53939    -0.00016     -12.91     -658.60952
  2.88000    -658.53876    -658.53857    -0.00019     -15.75     -658.62506
  2.89000    -658.53776    -658.53759    -0.00017     -18.40     -658.63965
  2.90000    -658.53656    -658.53645    -0.00011     -20.88     -658.65334
  2.91000    -658.53522    -658.53517    -0.00005     -23.18     -658.66623
  2.92000    -658.53370    -658.53374     0.00004     -25.33     -658.67835
  2.93000    -658.53207    -658.53219     0.00012     -27.33     -658.68978
  2.94000    -658.53031    -658.53050     0.00019     -29.21     -658.70054
  2.95000    -658.52842    -658.52870     0.00028     -30.95     -658.71068
  2.96000    -658.52641    -658.52679     0.00038     -32.58     -658.72022
  2.97000    -658.52456    -658.52476     0.00020     -34.10     -658.72949
  2.98000    -658.52263    -658.52263    -0.00000     -35.52     -658.73827
  2.99000    -658.52058    -658.52040    -0.00018     -36.85     -658.74653
  3.00000    -658.51850    -658.51808    -0.00041     -38.09     -658.75440
