# equation of state: murnaghan.        chisq =   0.2488D-07
# a0 =  5.3515 a.u., k0 = 3660 kbar, dk0 =  6.42 d2k0 =  0.000 emin = -658.54084
# a0 =  2.83188 Ang, k0 = 366.0 GPa,  V0 =    76.63 (a.u.)^3,  V0 =   11.36 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
  2.70000    -658.51646    -658.51624    -0.00022      85.82     -658.12900
  2.71000    -658.52034    -658.52031    -0.00004      76.01     -658.17336
  2.72000    -658.52385    -658.52393     0.00008      66.90     -658.21505
  2.73000    -658.52697    -658.52713     0.00016      58.45     -658.25421
  2.74000    -658.52978    -658.52993     0.00015      50.60     -658.29106
  2.75000    -658.53226    -658.53236     0.00010      43.31     -658.32569
  2.76000    -658.53439    -658.53444     0.00006      36.53     -658.35821
  2.77000    -658.53618    -658.53620     0.00002      30.24     -658.38876
  2.78000    -658.53768    -658.53764    -0.00003      24.39     -658.41749
  2.79000    -658.53887    -658.53880    -0.00007      18.95     -658.44447
  2.80000    -658.53977    -658.53968    -0.00009      13.89     -658.46982
  2.81000    -658.54037    -658.54030    -0.00007       9.19     -658.49361
  2.82000    -658.54069    -658.54068    -0.00001       4.81     -658.51595
  2.83000    -658.54078    -658.54083     0.00005       0.74     -658.53696
  2.84000    -658.54069    -658.54077     0.00008      -3.06     -658.55676
  2.85000    -658.54050    -658.54050    -0.00001      -6.59     -658.57549
  2.86000    -658.54014    -658.54003    -0.00010      -9.88     -658.59315
  2.87000    -658.53955    -658.53939    -0.00016     -12.94     -658.60974
  2.88000    -658.53876    -658.53857    -0.00018     -15.80     -658.62533
  2.89000    -658.53776    -658.53759    -0.00017     -18.46     -658.63997
  2.90000    -658.53656    -658.53645    -0.00011     -20.94     -658.65372
  2.91000    -658.53522    -658.53517    -0.00005     -23.26     -658.66668
  2.92000    -658.53370    -658.53374     0.00004     -25.42     -658.67885
  2.93000    -658.53207    -658.53219     0.00012     -27.43     -658.69034
  2.94000    -658.53031    -658.53050     0.00019     -29.31     -658.70116
  2.95000    -658.52842    -658.52870     0.00028     -31.07     -658.71135
  2.96000    -658.52641    -658.52679     0.00038     -32.70     -658.72094
  2.97000    -658.52456    -658.52476     0.00020     -34.23     -658.73027
  2.98000    -658.52263    -658.52263    -0.00000     -35.66     -658.73910
  2.99000    -658.52058    -658.52040    -0.00018     -37.00     -658.74742
  3.00000    -658.51850    -658.51808    -0.00041     -38.24     -658.75534
