# equation of state: keane.            chisq =   0.7595D-11
# a0 =  6.6574 a.u., k0 = 1284 kbar, dk0 =  7.29 d2k0 = -0.009 emin =-1716.65746
# a0 =  3.52294 Ang, k0 = 128.5 GPa,  V0 =   295.06 (a.u.)^3,  V0 =   43.72 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
  3.42000   -1716.64031   -1716.64031    -0.00000      18.94    -1716.29281
  3.43000   -1716.64365   -1716.64365     0.00000      16.62    -1716.33607
  3.44000   -1716.64659   -1716.64659     0.00000      14.41    -1716.37743
  3.45000   -1716.64915   -1716.64916     0.00000      12.33    -1716.41698
  3.46000   -1716.65135   -1716.65135    -0.00000      10.34    -1716.45479
  3.47000   -1716.65319   -1716.65319    -0.00000       8.46    -1716.49094
  3.48000   -1716.65468   -1716.65468    -0.00000       6.68    -1716.52550
  3.49000   -1716.65584   -1716.65584     0.00000       4.99    -1716.55854
  3.50000   -1716.65668   -1716.65668     0.00000       3.38    -1716.59013
  3.51000   -1716.65722   -1716.65722    -0.00000       1.86    -1716.62034
  3.52000   -1716.65745   -1716.65745    -0.00001       0.41    -1716.64922
  3.53000   -1716.65739   -1716.65739    -0.00000      -0.96    -1716.67682
  3.54000   -1716.65705   -1716.65705     0.00000      -2.27    -1716.70320
  3.55000   -1716.65643   -1716.65644     0.00000      -3.51    -1716.72843
  3.56000   -1716.65556   -1716.65556     0.00000      -4.69    -1716.75254
  3.57000   -1716.65442   -1716.65442     0.00000      -5.80    -1716.77558
  3.58000   -1716.65304   -1716.65304     0.00000      -6.87    -1716.79759
  3.59000   -1716.65142   -1716.65141    -0.00000      -7.88    -1716.81864
