# equation of state: murnaghan.        chisq =   0.4525D-11
# a0 =  6.6573 a.u., k0 = 1980 kbar, dk0 =  4.82 d2k0 =  0.000 emin =-1716.65746
# a0 =  3.52291 Ang, k0 = 198.0 GPa,  V0 =   295.05 (a.u.)^3,  V0 =   43.72 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
  3.42000   -1716.64031   -1716.64031    -0.00000      21.99    -1716.23687
  3.43000   -1716.64365   -1716.64365     0.00000      19.38    -1716.28491
  3.44000   -1716.64659   -1716.64659     0.00000      16.89    -1716.33124
  3.45000   -1716.64915   -1716.64915    -0.00000      14.50    -1716.37593
  3.46000   -1716.65135   -1716.65135    -0.00000      12.23    -1716.41903
  3.47000   -1716.65319   -1716.65319    -0.00000      10.05    -1716.46060
  3.48000   -1716.65468   -1716.65468    -0.00000       7.96    -1716.50071
  3.49000   -1716.65584   -1716.65584     0.00000       5.97    -1716.53941
  3.50000   -1716.65668   -1716.65669     0.00001       4.06    -1716.57675
  3.51000   -1716.65722   -1716.65722     0.00000       2.24    -1716.61280
  3.52000   -1716.65745   -1716.65745    -0.00000       0.49    -1716.64759
  3.53000   -1716.65739   -1716.65739    -0.00000      -1.18    -1716.68116
  3.54000   -1716.65705   -1716.65705    -0.00000      -2.78    -1716.71357
  3.55000   -1716.65643   -1716.65643    -0.00000      -4.31    -1716.74486
  3.56000   -1716.65556   -1716.65556    -0.00000      -5.77    -1716.77508
  3.57000   -1716.65442   -1716.65442     0.00000      -7.18    -1716.80425
  3.58000   -1716.65304   -1716.65304     0.00000      -8.52    -1716.83243
  3.59000   -1716.65142   -1716.65142    -0.00000      -9.81    -1716.85965
