# equation of state: keane.            chisq =   0.1050D-10
# a0 = 20.5686 a.u., k0 =  532 kbar, dk0 =  5.80 d2k0 = -0.008 emin =-9924.38129
# a0 = 10.88441 Ang, k0 =  53.2 GPa,  V0 =  8701.85 (a.u.)^3,  V0 = 1289.48 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
 10.76000   -9924.35607   -9924.35607    -0.00000       2.31    -9923.03427
 10.78000   -9924.36364   -9924.36364     0.00000       1.91    -9923.26505
 10.80000   -9924.36983   -9924.36983     0.00000       1.52    -9923.49018
 10.82000   -9924.37466   -9924.37466     0.00000       1.14    -9923.70981
 10.84000   -9924.37816   -9924.37816    -0.00000       0.78    -9923.92406
 10.86000   -9924.38036   -9924.38035    -0.00001       0.42    -9924.13308
 10.88000   -9924.38126   -9924.38126    -0.00000       0.07    -9924.33698
 10.90000   -9924.38091   -9924.38091    -0.00000      -0.26    -9924.53590
 10.92000   -9924.37933   -9924.37933    -0.00000      -0.59    -9924.72996
 10.94000   -9924.37653   -9924.37654     0.00000      -0.90    -9924.91927
 10.96000   -9924.37255   -9924.37256     0.00000      -1.21    -9925.10395
 10.98000   -9924.36740   -9924.36741     0.00000      -1.51    -9925.28413
 11.00000   -9924.36111   -9924.36111    -0.00000      -1.80    -9925.45991
